School Name,LA Name,LA,Estab,URN,Region,Type of School,Phase,Pre-16 School Budget Share,Pupil Premium,Education Services Grant,Other,Other DfE grants (Revenue),SEN,Other income (LA & other Government grants),Government source (non-grant),Academies,Non- Government,Total Grant Funding  £000,Total Income  £000
Kenningtons Primary School,Thurrock,883,5266,138735,East of England,Academy Converter,State-funded primary,"1,305",144,54,281,0,28,113,0,0,0,1925,1977
Dilkes Primary School,Thurrock,883,2622,139104,East of England,Academy Converter,State-funded primary,"1,544",152,63,272,182,279,141,76,0,10,2719,2769
Giffards Primary School,Thurrock,883,2942,115046,East of England,Academy Converter,State-funded primary,"2,306",0,114,223,0,0,206,0,0,0,2849,2939
Thames View Infants' School,Barking and Dagenham,301,2021,138684,London,Academy Converter,State-funded primary,"1,756",211,57,133,0,49,177,0,0,0,2383,2441
Broadfields Primary School - Edgware,Barnet,302,3519,140236,London,Academy Converter,State-funded primary,"2,413",329,81,337,0,115,672,0,0,0,3947,4089
Alma Primary,Barnet,302,2020,139562,London,Free Schools,State-funded primary,339,0,8,221,0,0,0,0,0,6,574,687
Rimon Jewish Primary School,Barnet,302,2004,138272,London,Free Schools,State-funded primary,446,0,0,225,0,8,1,0,0,46,726,888
Etz Chaim Jewish Primary School,Barnet,302,2001,136938,London,Free Schools,State-funded primary,603,0,0,63,0,0,61,0,0,0,727,1085
Independent Jewish Day School,Barnet,302,3515,137303,London,Academy Converter,State-funded primary,791,0,30,83,0,24,71,0,0,24,1023,1781
Bursted Wood Primary School,Bexley,303,2058,140443,London,Academy Converter,State-funded primary,"1,367",26,63,211,0,3,114,0,9,46,1839,1872
Hurst Primary School,Bexley,303,2080,140243,London,Academy Converter,State-funded primary,"2,141",107,90,185,0,15,118,0,0,28,2684,2724
Hope Community School,Bexley,303,2041,139561,London,Free Schools,State-funded primary,186,11,8,394,0,0,4,0,0,0,603,621
Sherwood Park Primary School,Bexley,303,2067,140532,London,Academy Converter,State-funded primary,"1,322",117,57,268,0,89,101,0,0,72,2026,2035
Days Lane Primary School,Bexley,303,2046,101428,London,Academy Converter,State-funded primary,"2,106",66,92,173,0,15,114,0,0,0,2566,2656
Sudbury Primary School,Brent,304,2076,138608,London,Academy Converter,State-funded primary,"3,727",327,125,149,0,139,214,0,0,0,4681,5014
North West London Jewish Day School,Brent,304,5201,101553,London,Academy Converter,State-funded primary,"1,199",11,43,81,0,136,81,0,0,119,1670,2098
Perry Hall School - Orpington,Bromley,305,2079,140448,London,Academy Converter,State-funded primary,"1,395",106,60,75,6,18,11,0,0,0,1671,1736
Farnborough Primary School,Bromley,305,2042,140449,London,Academy Converter,State-funded primary,614,51,31,227,0,20,38,0,0,21,1002,1089
Alexandra Infant School,Bromley,305,2001,140451,London,Academy Converter,State-funded primary,553,56,28,423,6,12,91,0,0,14,1183,1200
Highfield Junior School - Bromley,Bromley,305,5204,140257,London,Academy Converter,State-funded primary,"1,058",52,54,60,0,10,20,0,0,0,1254,1324
Highfield Infants' School - Bromley,Bromley,305,5203,140082,London,Academy Converter,State-funded primary,869,24,38,125,0,6,14,0,0,0,1076,1138
Alexandra Junior School,Bromley,305,2000,140080,London,Academy Converter,State-funded primary,913,96,35,12,0,9,2,0,0,0,1067,1093
Manor Oak Primary School,Bromley,305,2084,140450,London,Academy Converter,State-funded primary,639,117,26,269,0,4,90,0,0,0,1145,1165
St James' Roman Catholic Primary School,Bromley,305,3507,137958,London,Academy Converter,State-funded primary,536,27,30,233,0,18,2,0,0,0,846,967
Raglan Primary School,Bromley,305,5206,140088,London,Academy Converter,State-funded primary,"1,331",48,61,331,0,127,93,0,0,10,2001,2189
Tubbenden Primary School,Bromley,305,5207,137930,London,Academy Converter,State-funded primary,"2,259",100,90,117,0,64,137,0,0,0,2767,2913
Valley Primary School,Bromley,305,2024,137242,London,Academy Converter,State-funded primary,"1,768",150,67,98,0,5,87,0,0,0,2175,2361
Balgowan Primary School,Bromley,305,2002,137216,London,Academy Converter,State-funded primary,"2,040",79,92,142,0,51,88,0,0,0,2492,2610
Pickhurst Junior School,Bromley,305,2018,137070,London,Academy Converter,State-funded primary,"1,405",126,73,327,0,20,56,0,76,268,2351,2416
Pickhurst Infant School,Bromley,305,2017,137069,London,Academy Converter,State-funded primary,"1,192",47,50,28,19,0,58,0,0,8,1402,1794
Green Street Green Primary School,Bromley,305,2043,137067,London,Academy Converter,State-funded primary,"1,733",69,62,94,0,94,0,0,0,0,2052,2142
Darrick Wood Infant School,Bromley,305,2040,137032,London,Academy Converter,State-funded primary,946,39,43,115,0,16,189,0,0,0,1348,1376
Warren Road Primary School,Bromley,305,2056,136915,London,Academy Converter,State-funded primary,"2,609",82,107,166,37,17,22,0,0,12,3052,3323
Castlecombe Primary School,Bromley,305,2029,140533,London,Academy Converter,State-funded primary,921,114,32,48,0,19,111,0,0,0,1245,1280
St Peter and St Paul Catholic Primary School,Bromley,305,3505,101655,London,Academy Converter,State-funded primary,697,88,33,328,27,0,4,0,0,0,1177,1244
St Luke’s Church of England School,Camden,202,2000,136807,London,Free Schools,State-funded primary,252,8,8,276,0,0,41,0,0,6,591,604
St Thomas Becket Catholic Primary School - Croydon,Croydon,306,3403,138612,London,Academy Converter,State-funded primary,"1,591",69,0,153,0,19,0,0,0,0,1832,1977
St James the Great RC Primary and Nursery School,Croydon,306,5201,137959,London,Academy Converter,State-funded primary,"1,865",81,0,27,41,20,119,0,0,0,2153,2274
St Cyprian's Greek Orthodox Primary School,Croydon,306,3008,138335,London,Academy Converter,State-funded primary,0,125,0,"1,850",10,8,74,0,0,0,2067,2249
Atwood Primary School,Croydon,306,5202,140517,London,Academy Converter,State-funded primary,"1,565",82,66,86,0,55,132,0,0,0,1986,2100
Paxton Academy Sports and Science,Croydon,306,2087,140967,London,Free Schools,State-funded primary,470,50,0,108,0,0,0,0,0,0,628,629
Brentside Primary School,Ealing,307,2185,139488,London,Academy Converter,State-funded primary,"1,674",180,55,26,0,17,157,0,0,0,2109,2110
Wood End Junior School,Ealing,307,5200,136737,London,Academy Converter,State-funded primary,"1,870",181,0,10,0,49,103,0,0,49,2262,2267
St Mary's Church of England Primary School - Ealing,Ealing,307,2003,140963,London,Free Schools,State-funded primary,224,5,4,114,0,0,0,0,0,0,347,349
Meridian Angel Primary School,Enfield,308,2017,141017,London,Free Schools,State-funded primary,819,83,21,345,0,8,1,0,0,0,1277,1288
Eden Primary School,Haringey,309,2011,136808,London,Free Schools,State-funded primary,620,8,17,129,0,19,0,0,0,56,849,968
Charville Primary School,Hillingdon,312,5206,139609,London,Academy Converter,State-funded primary,"2,714",293,0,94,0,32,206,0,0,0,3339,3452
Westbrook Primary,Hounslow,313,2062,139889,London,Academy Converter,State-funded primary,"2,182",223,76,99,0,361,0,0,0,0,2941,2982
Norwood Green Junior School,Hounslow,313,2038,139869,London,Academy Converter,State-funded primary,"1,656",169,0,13,0,217,0,0,0,0,2055,2150
William Tyndale Primary School,Islington,206,2643,137566,London,Academy Converter,State-funded primary,"1,748",221,61,509,0,0,175,0,0,60,2774,2979
New North Academy,Islington,206,3644,137393,London,Academy Converter,State-funded primary,"1,694",404,53,453,0,56,286,0,0,56,3002,3017
Latchmere School,Kingston upon Thames,314,2014,138689,London,Academy Converter,State-funded primary,"2,424",105,111,599,83,114,267,0,11,340,4054,4258
St Agatha's Catholic Primary School,Kingston upon Thames,314,3503,137856,London,Academy Converter,State-funded primary,"1,663",49,67,186,0,0,7,0,0,0,1972,2094
Durand Primary School,Lambeth,208,5207,136288,London,Academy Converter,State-funded primary,"5,563",732,150,526,0,0,263,0,0,220,7454,7703
St Aidan's Catholic Primary School - Ilford,Redbridge,317,3507,140295,London,Academy Converter,State-funded primary,"1,643",131,63,174,0,16,0,0,0,0,2027,2099
St Mary's Hampton Church of England School,Richmond upon Thames,318,2003,139421,London,Free Schools,State-funded primary,407,6,8,95,0,0,0,0,0,0,516,530
Goose Green Primary School,Southwark,210,2859,138842,London,Academy Converter,State-funded primary,"1,981",160,62,258,6,13,389,0,0,55,2924,3064
Southwark Free School,Southwark,210,2000,138263,London,Free Schools,State-funded primary,429,0,12,218,0,0,0,0,0,1,660,662
John Donne Primary School,Southwark,210,2335,140507,London,Academy Converter,State-funded primary,"2,411",303,67,268,36,54,262,0,0,8,3409,3469
Cheam Park Farm Infants' School,Sutton,319,2011,140260,London,Academy Converter,State-funded primary,"1,149",29,49,124,0,19,144,0,0,0,1514,1589
Westbourne Primary School,Sutton,319,2045,136796,London,Academy Converter,State-funded primary,"1,459",89,54,185,0,20,195,0,0,0,2002,2102
Cheam Park Farm Junior School,Sutton,319,2010,136535,London,Academy Converter,State-funded primary,"1,413",72,59,122,0,11,0,0,0,0,1677,1793
Sir William Burrough Primary School,Tower Hamlets,211,2557,137682,London,Academy Converter,State-funded primary,"1,856",0,0,0,154,29,229,0,0,0,2268,2282
Hillyfield Academy,Waltham Forest,320,2018,136413,London,Academy Converter,State-funded primary,"4,230",353,115,151,0,0,939,0,0,0,5788,6360
Emmanuel Community School - Walthamstow,Waltham Forest,320,2019,138258,London,Free Schools,State-funded primary,347,0,12,280,0,44,4,0,0,3,690,715
Roger Ascham Primary School,Waltham Forest,320,2040,136362,London,Academy Converter,State-funded primary,"2,410",346,73,74,0,68,225,0,0,0,3196,3237
Yardley Primary School - Waltham Forrest,Waltham Forest,320,2007,136364,London,Academy Converter,State-funded primary,"1,711",159,68,165,0,95,154,0,0,0,2352,2402
Mosaic Jewish Primary School,Wandsworth,212,2001,139687,London,Free Schools,State-funded primary,381,0,0,108,0,0,0,0,0,0,489,627
Belleville Primary School,Wandsworth,212,2040,137563,London,Academy Converter,State-funded primary,"3,242",105,111,336,0,134,325,0,0,11,4264,5343
Gateway Academy,Westminster,213,2244,140050,London,Academy Converter,State-funded primary,"2,930",621,93,144,0,107,354,0,0,10,4259,4310
St Bede's RC Primary School - Darlington,Darlington,841,3512,138523,North East,Academy Converter,State-funded primary,577,48,32,253,0,7,120,0,0,0,1037,1105
St John's Church of England Primary School - Darlington,Darlington,841,3306,138128,North East,Academy Converter,State-funded primary,892,115,32,21,0,3,97,0,0,0,1160,1183
St George's CofE VA Primary School - Darlington,Darlington,841,3514,138000,North East,Academy Converter,State-funded primary,"1,089",74,47,80,0,43,86,0,0,0,1419,1507
Firthmoor Primary School,Darlington,841,2001,138129,North East,Academy Converter,State-funded primary,"1,235",238,42,52,0,6,81,0,0,0,1654,1667
West Park Academy,Darlington,841,2002,137042,North East,Academy Converter,State-funded primary,"1,490",140,62,87,14,95,123,0,0,4,2015,2087
Reid Street Primary School,Darlington,841,2663,136836,North East,Academy Converter,State-funded primary,"1,480",177,58,77,0,39,0,0,5,0,1836,1845
Murton Community Primary School,Durham,840,3517,138633,North East,Academy Converter,State-funded primary,"1,349",322,68,418,0,85,228,0,0,0,2470,2644
New Seaham Primary School,Durham,840,2023,138826,North East,Academy Converter,State-funded primary,925,50,35,35,0,3,64,0,9,18,1139,1165
Riverside Primary Academy - Gateshead,Gateshead,390,2220,138285,North East,Academy Converter,State-funded primary,786,140,49,19,0,6,108,0,0,13,1121,1186
Kibblesworth Academy,Gateshead,390,2058,138211,North East,Academy Converter,State-funded primary,457,44,21,212,0,0,50,0,0,8,792,850
Chandlers Ridge Primary School,Middlesbrough,806,2313,138656,North East,Academy Converter,State-funded primary,"1,087",54,48,56,0,2,129,0,0,0,1376,1416
Hemlington Hall Academy,Middlesbrough,806,2367,140541,North East,Academy Converter,State-funded primary,"1,130",203,48,304,0,0,95,0,0,3,1783,1816
Rose Wood Academy,Middlesbrough,806,2359,140504,North East,Academy Converter,State-funded primary,"1,059",112,47,154,0,16,108,0,0,62,1558,1610
Sunnyside Primary School - Middlesborough,Middlesbrough,806,2316,140503,North East,Academy Converter,State-funded primary,"1,031",192,48,840,0,853,145,0,0,15,3124,3174
Easterside Academy,Middlesbrough,806,2318,111622,North East,Academy Converter,State-funded primary,"1,094",193,35,42,0,4,122,0,0,0,1490,1499
Green Lane Primary School - Middlesborough,Middlesbrough,806,2347,111646,North East,Academy Converter,State-funded primary,"3,043",228,134,152,0,41,233,0,0,0,3831,4017
Kader Primary School,Middlesbrough,806,2111,111574,North East,Academy Converter,State-funded primary,"1,825",108,79,104,0,37,177,0,0,0,2330,2403
Viewley Hill Academy,Middlesbrough,806,2369,140505,North East,Academy Converter,State-funded primary,894,182,29,47,0,23,90,0,0,14,1279,1312
Grasmere Academy,North Tyneside,392,2001,138576,North East,Academy Sponsor Led,State-funded primary,529,63,12,26,0,17,23,0,0,59,729,731
Cramlington Village Primary School,Northumberland,929,2000,138257,North East,Free Schools,State-funded primary,295,27,11,231,0,21,0,0,0,0,585,603
Skelton Primary School,Redcar and Cleveland,807,3388,140319,North East,Academy Converter,State-funded primary,"1,601",227,76,260,0,78,168,0,0,14,2424,2626
Nunthorpe Primary School,Redcar and Cleveland,807,2166,111594,North East,Academy Converter,State-funded primary,739,54,39,214,0,0,113,0,0,97,1256,1273
Monkton Infants' School,South Tyneside,393,2037,139314,North East,Academy Converter,State-funded primary,660,91,22,9,0,0,177,0,0,13,972,995
Monkton Junior School,South Tyneside,393,2036,138025,North East,Academy Converter,State-funded primary,554,116,16,9,0,0,0,0,0,0,695,702
Yarm Primary School,Stockton-on-Tees,808,2069,111554,North East,Academy Converter,State-funded primary,"1,037",49,57,367,0,43,96,0,0,118,1767,1786
Diamond Hall Infant School,Sunderland,394,2016,139849,North East,Academy Converter,State-funded primary,"1,109",161,41,83,0,5,177,0,0,10,1586,1632
Fulwell Infant School,Sunderland,394,2020,139026,North East,Academy Converter,State-funded primary,821,38,44,318,20,51,200,0,0,35,1527,1590
Holley Park Primary School,Sunderland,394,2163,138534,North East,Academy Converter,State-funded primary,663,51,30,183,0,0,0,0,0,0,927,1018
East Herrington Primary School,Sunderland,394,2091,138331,North East,Academy Converter,State-funded primary,"1,472",96,62,90,0,6,136,5,0,23,1890,2003
Eppleton Primary School,Sunderland,394,2107,138213,North East,Academy Converter,State-funded primary,527,80,173,33,0,16,20,0,0,18,867,933
Benedict Biscop Church of England Aided Primary School,Sunderland,394,3322,137831,North East,Academy Converter,State-funded primary,833,36,33,63,0,7,84,0,0,74,1130,1175
Newbottle Primary School,Sunderland,394,2118,108801,North East,Academy Converter,State-funded primary,"1,451",127,61,109,0,7,145,0,43,25,1968,2063
Ryhope Infant School Academy,Sunderland,394,2094,108788,North East,Academy Converter,State-funded primary,565,96,30,336,0,0,201,0,0,2,1230,1263
Wensley Fold (VC) Church of England Primary School,Blackburn with Darwen,889,3193,139514,North West,Academy Converter,State-funded primary,"1,102",73,42,253,0,59,90,12,0,217,1848,1872
Langdale Free School,Blackpool,890,6002,140200,North West,Free Schools,State-funded primary,626,29,0,12,0,0,0,0,0,0,667,684
Thames Primary School,Blackpool,890,2220,138927,North West,Academy Converter,State-funded primary,"1,757",0,65,185,487,8,69,0,0,0,2571,3179
Roseacre Primary Academy,Blackpool,890,2829,138847,North West,Academy Converter,State-funded primary,"1,852",271,88,309,0,0,0,0,0,0,2520,2636
Norbreck Primary Academy,Blackpool,890,2209,138739,North West,Academy Converter,State-funded primary,"1,783",240,84,298,0,0,36,0,0,0,2441,2491
Waterloo Primary School,Blackpool,890,2221,138300,North West,Academy Converter,State-funded primary,"2,183",450,91,383,0,80,130,0,0,84,3401,3568
Hawes Side Primary School,Blackpool,890,2207,138538,North West,Academy Converter,State-funded primary,"2,238",363,0,37,0,0,0,0,0,0,2638,2753
Westcliff Primary School,Blackpool,890,2222,137359,North West,Academy Converter,State-funded primary,800,154,39,276,9,0,301,0,0,0,1579,1713
Olive Tree Primary School Bolton The,Bolton,350,2002,139776,North West,Free Schools,State-funded primary,449,61,19,314,0,0,0,0,0,0,843,852
Eagley Junior School,Bolton,350,2064,138152,North West,Academy Converter,State-funded primary,697,51,31,163,0,16,2,0,0,30,990,1006
Eagley Infant School,Bolton,350,2050,138011,North West,Academy Converter,State-funded primary,526,20,27,241,0,19,92,0,0,12,937,1143
Harwood Meadows Primary School,Bolton,350,2072,137991,North West,Academy Converter,State-funded primary,708,67,28,194,0,34,85,0,0,31,1147,1266
St Bede Academy - Bolton,Bolton,350,3368,136889,North West,Academy Converter,State-funded primary,"1,377",169,61,287,0,32,161,0,0,77,2164,2238
Lever Edge Primary Academy,Bolton,350,2018,136395,North West,Academy Converter,State-funded primary,"1,621",278,57,76,0,17,300,0,0,0,2349,2429
Yesoiday Hatorah School,Bury,351,5201,136661,North West,Academy Converter,State-funded primary,"2,344",0,104,38,4,72,157,0,0,0,2719,2772
Parkroyal Community School,Cheshire East,895,2141,140438,North West,Academy Converter,State-funded primary,"1,376",81,55,97,10,15,0,0,0,37,1671,1783
Holmes Chapel Primary School,Cheshire East,895,2165,140083,North West,Academy Converter,State-funded primary,"1,204",47,52,80,30,0,20,0,0,0,1433,1573
Stapeley Broad Lane CofE Primary School,Cheshire East,895,3147,139539,North West,Academy Converter,State-funded primary,757,12,0,4,1,0,0,0,0,0,774,870
Worth Primary School,Cheshire East,895,2157,139459,North West,Academy Converter,State-funded primary,726,17,43,55,0,0,0,0,0,0,841,891
Lacey Green Primary School,Cheshire East,895,2133,137450,North West,Academy Converter,State-funded primary,"1,217",74,44,84,0,31,65,0,0,54,1569,1635
Mottram St Andrew Primary School,Cheshire East,895,5201,136518,North West,Academy Converter,State-funded primary,596,0,23,67,112,11,0,0,0,0,809,894
Quinta Primary School The,Cheshire East,895,2171,140501,North West,Academy Converter,State-funded primary,"1,049",34,45,72,0,3,10,0,0,0,1213,1288
Whirley Primary School,Cheshire East,895,2340,111153,North West,Academy Converter,State-funded primary,737,18,29,15,0,19,0,0,0,0,818,908
Wistaston Green Primary and Nursery School,Cheshire East,895,3805,134998,North West,Academy Converter,State-funded primary,"1,614",216,53,66,0,46,114,0,0,0,2109,2179
St Martin's Academy Chester,Cheshire West and Chester,896,2000,139377,North West,Free Schools,State-funded primary,355,0,0,35,0,0,0,0,0,0,390,414
Delamere CofE Primary Academy,Cheshire West and Chester,896,3128,136553,North West,Academy Converter,State-funded primary,753,0,0,53,0,3,0,0,0,0,809,995
Penny Bridge CofE School,Cumbria,909,3556,140306,North West,Academy Converter,State-funded primary,334,16,15,103,0,0,0,0,0,20,488,524
Crosby-on-Eden CofE School,Cumbria,909,5223,138896,North West,Academy Converter,State-funded primary,309,9,14,79,0,25,10,0,0,0,446,461
Ghyllside Primary School,Cumbria,909,2318,138744,North West,Academy Converter,State-funded primary,"1,371",108,60,149,0,31,68,0,1,47,1835,1870
Gilsland CofE Primary School,Cumbria,909,5216,138159,North West,Academy Converter,State-funded primary,118,7,5,126,0,3,0,0,0,0,259,275
Stramongate Primary School,Cumbria,909,2319,137962,North West,Academy Converter,State-funded primary,"1,437",100,55,0,0,0,56,0,0,0,1648,1700
Arnside National CofE School,Cumbria,909,3352,137686,North West,Academy Converter,State-funded primary,494,18,19,57,0,11,35,0,0,0,634,713
Dearham Primary School,Cumbria,909,5211,137602,North West,Academy Converter,State-funded primary,0,0,0,923,0,0,123,0,0,0,1046,1196
Broughton Primary School,Cumbria,909,5205,137513,North West,Academy Converter,State-funded primary,418,8,15,22,8,4,47,0,0,3,525,534
Burton Morewood CofE Primary School,Cumbria,909,3052,137537,North West,Academy Converter,State-funded primary,650,27,27,90,3,28,0,0,0,129,954,980
Great Corby Primary School,Cumbria,909,2026,137860,North West,Academy Converter,State-funded primary,245,0,19,116,0,1,0,0,0,33,414,444
Castle Carrock School,Cumbria,909,5220,137653,North West,Academy Converter,State-funded primary,382,4,12,4,0,29,22,0,0,13,466,543
Eaglesfield Paddle Church of England VA Primary School,Cumbria,909,5209,136784,North West,Academy Converter,State-funded primary,750,13,30,0,0,13,72,14,0,2,894,914
Seaton Academy,Cumbria,909,2130,136285,North West,Academy Converter,State-funded primary,745,29,0,101,0,0,145,0,0,26,1046,1046
Palace Fields Primary School,Halton,876,2724,137301,North West,Academy Converter,State-funded primary,"1,101",0,31,5,181,0,157,0,0,18,1493,1493
Moorside Community Primary Academy School,Lancashire,888,2551,139495,North West,Academy Converter,State-funded primary,738,120,0,15,0,0,0,0,0,0,873,933
Clayton-le-Moors All Saints Church of England Primary School,Lancashire,888,3348,137641,North West,Academy Converter,State-funded primary,838,0,0,142,0,0,116,85,0,0,1181,1198
Belthorn Academy Primary School,Lancashire,888,5205,137512,North West,Academy Converter,State-funded primary,535,36,24,204,0,26,0,0,0,14,839,862
Parbold Douglas Church of England Primary School,Lancashire,888,3451,137127,North West,Academy Converter,State-funded primary,713,23,0,19,51,3,0,0,0,193,1002,1273
Hambleton Primary School,Lancashire,888,2040,136365,North West,Academy Converter,State-funded primary,629,44,30,182,0,15,3,0,0,0,903,1092
New Islington Free School,Manchester,352,2022,139598,North West,Free Schools,State-funded primary,679,37,20,162,0,0,0,0,0,0,898,942
King David Primary School,Manchester,352,3508,139497,North West,Academy Converter,State-funded primary,"1,128",43,187,258,0,25,66,0,0,95,1802,1805
Webster Primary School,Manchester,352,2323,139445,North West,Academy Converter,State-funded primary,"1,670",342,44,18,0,223,0,0,0,43,2340,2348
St Barnabas CofE Academy,Manchester,352,2007,137866,North West,Academy Sponsor Led,State-funded primary,892,174,32,175,0,42,104,0,0,49,1468,1468
Cheetham CofE Community Academy,Manchester,352,3040,137601,North West,Academy Converter,State-funded primary,"2,229",349,0,44,0,0,221,0,0,36,2879,2888
Crossacres Primary School,Manchester,352,2073,105410,North West,Academy Converter,State-funded primary,"1,486",319,59,70,0,141,275,3,0,45,2398,2398
Manchester Communications Primary Academy - Harpurhey,Manchester,352,2024,140482,North West,Academy Sponsor Led,State-funded primary,241,8,8,200,0,0,4,0,0,12,473,561
St Chad's Church of England Primary School,Oldham,353,3008,105690,North West,Academy Converter,State-funded primary,854,22,38,164,0,21,0,0,0,267,1366,1489
Bamford Academy,Rochdale,354,5205,137471,North West,Academy Converter,State-funded primary,"1,099",53,42,71,0,17,2,0,0,0,1284,1417
Broughton Jewish Cassel Fox Primary School,Salford,355,3802,138543,North West,Academy Converter,State-funded primary,"1,174",34,53,40,87,32,119,0,0,0,1539,1838
Broadoak Primary School - Salford,Salford,355,2090,137556,North West,Academy Converter,State-funded primary,"1,167",29,63,299,0,84,118,0,0,79,1839,1919
Mellor Primary School,Stockport,356,2057,137542,North West,Academy Converter,State-funded primary,561,23,29,142,9,38,40,0,0,0,842,992
Gatley Primary School,Stockport,356,2035,106047,North West,Academy Converter,State-funded primary,"1,395",48,62,109,111,15,102,0,0,0,1842,1953
Denton West End Primary School,Tameside,357,2061,138207,North West,Academy Converter,State-funded primary,"1,517",91,62,72,0,0,96,0,0,0,1838,1928
Park Road Primary School - Sale,Trafford,358,2018,140142,North West,Academy Converter,State-funded primary,584,11,34,197,0,0,65,0,0,0,891,1047
Park Road Primary School - Altrincham,Trafford,358,2005,136376,North West,Academy Converter,State-funded primary,736,14,33,54,0,32,80,0,0,0,949,1185
Tyldesley Primary School,Wigan,359,2036,138036,North West,Academy Converter,State-funded primary,"1,012",50,31,66,90,22,357,0,0,0,1628,1878
Bilingual Primary School for Brighton and Hove,Brighton and Hove,846,2008,138261,South East,Free Schools,State-funded primary,611,37,29,392,0,0,0,0,0,0,1069,1086
Seer Green Church of England Combined School,Buckinghamshire,825,3326,139164,South East,Academy Converter,State-funded primary,746,21,30,60,0,45,0,0,0,0,902,951
Brill Church of England Combined School,Buckinghamshire,825,3023,139446,South East,Academy Converter,State-funded primary,473,13,25,181,0,11,0,0,0,44,747,778
Hamilton Primary School,Buckinghamshire,825,5202,137964,South East,Academy Converter,State-funded primary,"1,918",169,88,360,0,73,79,0,0,33,2720,2842
Chepping View Primary School,Buckinghamshire,825,2229,137979,South East,Academy Converter,State-funded primary,"1,584",93,59,223,97,50,3,0,0,153,2262,2349
St Nicolas' CE Combined School Taplow,Buckinghamshire,825,3346,138121,South East,Academy Converter,State-funded primary,724,14,29,48,0,2,3,0,0,20,840,861
Gerrards Cross Church of England School The,Buckinghamshire,825,5210,137774,South East,Academy Converter,State-funded primary,"1,067",26,58,261,0,74,6,0,0,43,1535,1660
Chalfont St Peter CofE Academy,Buckinghamshire,825,3322,136726,South East,Academy Converter,State-funded primary,936,29,50,208,0,44,1,0,0,69,1337,1475
Milford-on-Sea Church of England Primary School,Hampshire,850,3365,140098,South East,Academy Converter,State-funded primary,827,41,44,251,0,4,0,0,0,88,1255,1263
Hook-with-Warsash Church of England Primary School,Hampshire,850,3079,138719,South East,Academy Converter,State-funded primary,"1,098",45,59,270,0,0,0,0,0,54,1526,1562
Bransgore Church of England Primary School,Hampshire,850,3017,137693,South East,Academy Converter,State-funded primary,"1,164",63,46,4,416,0,0,26,0,0,1719,1786
Priory Primary School The - Tadley,Hampshire,850,5201,136447,South East,Academy Converter,State-funded primary,639,6,24,40,0,12,5,0,0,0,726,799
Northwood Primary School,Isle of Wight,921,2016,139454,South East,Academy Converter,State-funded primary,663,46,30,161,0,10,4,0,0,48,962,974
Lanesend Primary,Isle of Wight,921,2032,118174,South East,Academy Converter,State-funded primary,938,166,37,343,0,105,2,0,0,0,1591,1682
Wells Free School The,Kent,886,2025,139696,South East,Free Schools,State-funded primary,479,11,0,40,0,13,0,0,0,0,543,550
Folkestone St Mary's Church of England Primary School,Kent,886,3349,139310,South East,Academy Converter,State-funded primary,"1,604",187,59,73,0,15,6,0,0,0,1944,2127
St Eanswythe's Church of England Primary School,Kent,886,3348,139315,South East,Academy Converter,State-funded primary,888,66,31,25,0,7,0,0,0,0,1017,1063
Folkestone Christ Church CofE Primary School,Kent,886,3148,139309,South East,Academy Converter,State-funded primary,"1,722",274,57,62,0,0,45,0,0,0,2160,2216
Allington Primary School,Kent,886,5209,139096,South East,Academy Converter,State-funded primary,"1,332",39,58,68,78,43,3,0,0,0,1621,1694
Ramsgate Christ Church Church of England Junior School,Kent,886,2020,139255,South East,Academy Sponsor Led,State-funded primary,857,85,120,22,0,1,13,0,0,0,1098,1161
St Laurence in Thanet Church of England Junior School,Kent,886,2014,138592,South East,Academy Sponsor Led,State-funded primary,953,140,33,33,0,0,21,0,0,0,1180,1224
Temple Grove Academy,Kent,886,2018,139052,South East,Academy Sponsor Led,State-funded primary,"1,162",181,40,24,0,32,31,0,0,0,1470,1726
West Malling Church of England Voluntary Controlled Primary School,Kent,886,3086,138737,South East,Academy Converter,State-funded primary,"1,013",85,0,61,0,67,0,0,0,0,1226,1264
Hampton Primary School,Kent,886,2264,137961,South East,Academy Converter,State-funded primary,"1,964",257,74,136,0,0,165,0,0,40,2636,2750
Luddenham School,Kent,886,2232,138034,South East,Academy Converter,State-funded primary,783,36,30,58,0,0,4,0,0,0,911,931
Graveney Primary School,Kent,886,2229,137871,South East,Academy Converter,State-funded primary,432,21,14,31,0,0,10,0,0,0,508,531
Wentworth Primary School,Kent,886,2684,137836,South East,Academy Converter,State-funded primary,"1,514",105,82,261,0,3,43,0,0,0,2008,2057
St John's Church of England Primary School - Maidstone,Kent,886,3372,137615,South East,Academy Converter,State-funded primary,945,33,39,95,0,34,82,0,0,0,1228,1282
Chiddingstone Church of England Voluntary Controlled Primary School,Kent,886,3025,137728,South East,Academy Converter,State-funded primary,704,13,28,47,0,21,0,0,0,0,813,940
Wilmington Primary School,Kent,886,5219,137663,South East,Academy Converter,State-funded primary,734,10,28,57,0,0,2,0,0,0,831,857
Joydens Wood Infant School,Kent,886,2500,137660,South East,Academy Converter,State-funded primary,833,14,31,99,0,23,42,0,0,0,1042,1077
Joydens Wood Junior School,Kent,886,2438,137661,South East,Academy Converter,State-funded primary,983,38,41,12,0,0,26,0,0,0,1100,1201
Sheldwich Primary School,Kent,886,2246,137397,South East,Academy Converter,State-funded primary,752,21,30,43,3,35,0,0,0,2,886,954
